Time,Prices,Vol,Ope,Clop,Sol
21:00:00,"2,397.00",420,412,8,SHortop
21:00:00,"2,395.00","1,454","1,086",368,SHortop
21:00:01,"2,394.00","2,988","1,405","1,583",Longcl
21:00:01,"2,390.00","5,756","1,829","3,927",Longcl
21:00:02,"2,388.00","2,736",796,"1,940",Longcl
21:00:02,"2,391.00","2,176",846,"1,330",SHortcl
21:00:03,"2,391.00","1,468",666,802,Longcl
21:00:03,"2,391.00",518,228,290,SHortcl
21:00:04,"2,392.00",938,473,465,Longop
21:00:04,"2,393.00",826,355,471,SHortcl
21:00:05,"2,392.00",662,217,445,Longcl
21:00:05,"2,391.00",866,314,552,Longcl
21:00:06,"2,391.00",378,246,132,Longop
21:00:06,"2,392.00",754,534,220,Longop
21:00:07,"2,392.00",408,258,150,Longop
21:00:07,"2,391.00",412,104,308,Longcl
21:00:08,"2,391.00",348,120,228,SHortcl
21:00:08,"2,392.00",362,90,272,SHortcl
21:00:09,"2,392.00",784,556,228,SHortop
21:00:09,"2,391.00",622,476,146,SHortop
21:00:10,"2,392.00",138,120,18,Longop
21:00:10,"2,393.00",286,72,214,SHortcl
21:00:11,"2,391.00",590,421,169,SHortop
21:00:11,"2,393.00","1,368",257,"1,111",SHortcl
21:00:12,"2,393.00",652,406,246,Longop
21:00:12,"2,393.00",326,139,187,SHortcl
21:00:13,"2,392.00",330,120,210,Longcl
21:00:13,"2,394.00",104,53,51,Longop
21:00:14,"2,394.00",342,123,219,SHortcl
21:00:14,"2,393.00",66,23,43,Longcl
21:00:15,"2,394.00",134,45,89,SHortcl
21:00:15,"2,395.00",114,18,96,SHortcl
21:00:16,"2,394.00",254,158,96,SHortop
21:00:16,"2,393.00",618,130,488,Longcl
21:00:17,"2,392.00",432,275,157,SHortop
21:00:17,"2,392.00",218,126,92,Longop
21:00:18,"2,392.00",60,21,39,SHortcl
21:00:18,"2,392.00",146,16,130,SHortcl
21:00:19,"2,392.00",52,16,36,SHortcl
21:00:19,"2,392.00",218,124,94,Longop
21:00:20,"2,392.00",328,203,125,Longop
21:00:20,"2,392.00",640,68,572,SHortcl
21:00:21,"2,392.00",88,41,47,Longcl
21:00:21,"2,393.00",58,8,50,SHortcl
21:00:22,"2,392.00",670,337,333,SHortop
21:00:22,"2,392.00",36,9,27,Longcl
21:00:23,"2,392.00",46,12,34,Longcl
21:00:23,"2,393.00",108,17,91,SHortcl
21:00:24,"2,392.00",330,242,88,SHortop
21:00:24,"2,392.00",318,172,146,Longop
21:00:25,"2,391.00",256,133,123,SHortop
21:00:25,"2,391.00",80,20,60,SHortcl
21:00:26,"2,391.00",78,49,29,Longop
21:00:26,"2,390.00",66,32,34,Longcl
21:00:27,"2,390.00",766,498,268,SHortop
21:00:27,"2,389.00",86,48,38,SHortop
21:00:28,"2,389.00",96,36,60,Longcl
21:00:28,"2,389.00",184,149,35,SHortop
21:00:29,"2,390.00",84,53,31,Longop
21:00:29,"2,390.00",48,28,20,Longop
21:00:30,"2,389.00",412,147,265,Longcl
21:00:30,"2,390.00",506,112,394,SHortcl
21:00:31,"2,390.00",132,50,82,Longcl
21:00:31,"2,390.00",632,421,211,SHortop
21:00:32,"2,390.00",18,7,11,Longcl
21:00:32,"2,390.00",84,23,61,Longcl
21:00:33,"2,391.00",242,138,104,Longop
21:00:33,"2,391.00",134,11,123,Longcl
21:00:34,"2,392.00",84,29,55,SHortcl
21:00:34,"2,391.00",52,20,32,Longcl
21:00:35,"2,391.00",200,21,179,Longcl
21:00:35,"2,392.00",270,75,195,SHortcl
21:00:36,"2,394.00",820,101,719,SHortcl
21:00:36,"2,393.00",284,75,209,Longcl
21:00:37,"2,393.00",358,227,131,SHortop
21:00:37,"2,393.00",118,51,67,SHortcl
21:00:38,"2,394.00",74,32,42,SHortcl
21:00:38,"2,394.00",70,27,43,SHortcl
21:00:39,"2,394.00",58,28,30,SHortcl
21:00:39,"2,394.00",78,17,61,SHortcl
